Date | mars_base_internal_temperature | mars_base_external_temperature | mars_base_internal_humidity | mars_base_external_illuminance | mars_base_internal_co2 | mars_base_internal_oxygen
2025-04-02 13:33:45 | 22.13 | 10.08 | 56.92 | 509.86 | 0.05 | 4.25
2025-04-02 13:34:05 | 18.42 | 4.31 | 56.76 | 641.20 | 0.05 | 6.08
2025-04-02 13:34:25 | 18.65 | 8.96 | 55.75 | 699.45 | 0.03 | 5.81
2025-04-02 13:34:45 | 27.94 | 9.51 | 56.08 | 570.83 | 0.07 | 4.70
2025-04-02 13:35:05 | 25.80 | 17.67 | 59.19 | 513.84 | 0.06 | 6.25
2025-04-02 13:35:25 | 28.13 | 16.93 | 51.06 | 559.10 | 0.09 | 4.76
2025-04-02 13:35:45 | 23.26 | 16.46 | 56.74 | 548.15 | 0.08 | 6.28
2025-04-02 13:36:05 | 22.84 | 6.33 | 58.42 | 600.76 | 0.04 | 4.93
2025-04-02 13:36:44 | 20.85 | 15.40 | 50.01 | 559.77 | 0.10 | 6.29
2025-04-02 13:37:04 | 26.86 | 3.22 | 57.65 | 657.10 | 0.07 | 6.75
2025-04-02 13:37:24 | 20.09 | 2.22 | 56.10 | 593.37 | 0.04 | 5.06
2025-04-02 13:37:44 | 25.41 | 5.06 | 51.93 | 511.98 | 0.04 | 5.78
2025-04-02 13:38:04 | 26.20 | 16.02 | 54.87 | 612.42 | 0.02 | 5.82
2025-04-02 13:39:25 | 18.13 | 19.72 | 52.32 | 685.26 | 0.04 | 6.56
2025-04-02 13:39:45 | 24.23 | 13.44 | 56.81 | 678.54 | 0.06 | 5.89
2025-04-02 13:40:05 | 27.49 | 20.26 | 56.64 | 518.06 | 0.08 | 5.04
2025-04-02 13:40:43 | 29.16 | 0.41 | 50.42 | 556.42 | 0.04 | 5.26
2025-04-02 13:41:03 | 27.61 | 19.52 | 55.72 | 509.86 | 0.03 | 6.43
2025-04-02 13:41:23 | 22.65 | 13.62 | 52.81 | 585.26 | 0.04 | 5.23
2025-04-02 13:41:55 | 19.29 | 13.98 | 56.49 | 662.25 | 0.04 | 6.86
2025-04-02 13:42:15 | 19.57 | 1.13 | 51.32 | 581.90 | 0.09 | 6.44
2025-04-02 13:42:36 | 24.98 | 2.11 | 51.75 | 538.03 | 0.08 | 4.59
2025-04-02 13:42:56 | 21.50 | 4.60 | 50.75 | 609.60 | 0.07 | 5.64
2025-04-02 13:45:52 | 24.69 | 3.58 | 58.94 | 516.28 | 0.06 | 5.29
2025-04-02 13:46:12 | 27.77 | 14.83 | 52.52 | 541.82 | 0.08 | 5.92
2025-04-02 13:46:57 | 22.70 | 17.45 | 57.34 | 599.04 | 0.06 | 6.76
2025-04-02 13:47:17 | 20.95 | 1.01 | 53.94 | 507.58 | 0.05 | 5.71
2025-04-02 13:47:37 | 27.63 | 13.06 | 57.07 | 547.16 | 0.09 | 6.47
2025-04-02 13:47:57 | 21.55 | 14.91 | 56.50 | 625.55 | 0.05 | 5.05
2025-04-02 13:48:17 | 20.09 | 13.81 | 55.28 | 654.94 | 0.09 | 6.27
2025-04-02 13:48:37 | 24.48 | 10.70 | 50.11 | 542.81 | 0.10 | 5.69
2025-04-02 13:48:57 | 26.39 | 20.16 | 54.97 | 701.83 | 0.06 | 5.60
2025-04-02 13:49:17 | 26.47 | 7.97 | 53.00 | 684.05 | 0.06 | 4.34
2025-04-02 13:49:39 | 25.79 | 5.74 | 55.39 | 697.13 | 0.07 | 5.72
2025-04-02 13:49:59 | 20.30 | 19.71 | 51.19 | 575.65 | 0.09 | 5.23
2025-04-02 13:50:19 | 18.17 | 8.85 | 51.62 | 595.67 | 0.05 | 4.20
2025-04-02 13:50:39 | 18.01 | 11.88 | 55.65 | 532.26 | 0.10 | 5.37
2025-04-03 11:51:20 | 19.25 | 19.36 | 57.05 | 528.33 | 0.05 | 6.45
2025-04-03 11:51:40 | 18.43 | 7.02 | 59.86 | 713.99 | 0.09 | 6.32
2025-04-03 11:52:00 | 27.64 | 6.90 | 51.72 | 660.24 | 0.10 | 6.14
2025-04-03 11:52:20 | 28.21 | 3.96 | 50.16 | 656.07 | 0.03 | 4.97
2025-04-03 11:52:40 | 19.01 | 4.11 | 57.76 | 713.24 | 0.03 | 4.26
2025-04-03 11:53:00 | 26.97 | 8.59 | 51.01 | 600.95 | 0.02 | 6.01
2025-04-03 11:53:20 | 25.39 | 15.10 | 53.19 | 577.20 | 0.03 | 5.83
2025-04-03 11:53:46 | 27.95 | 6.85 | 55.97 | 703.21 | 0.05 | 5.01
2025-04-03 11:54:26 | 27.69 | 13.14 | 56.75 | 547.61 | 0.02 | 4.22
2025-04-03 11:54:46 | 18.59 | 19.90 | 53.67 | 528.86 | 0.07 | 6.29
2025-04-03 11:55:06 | 20.10 | 18.27 | 52.43 | 680.94 | 0.10 | 4.35
2025-04-03 11:55:26 | 23.31 | 6.00 | 53.03 | 615.72 | 0.02 | 5.13
2025-04-03 11:55:46 | 22.85 | 8.43 | 54.98 | 665.46 | 0.08 | 5.38
2025-04-03 11:56:29 | 27.77 | 14.63 | 55.61 | 703.74 | 0.08 | 6.70
2025-04-03 11:56:49 | 29.10 | 17.00 | 54.17 | 650.37 | 0.02 | 5.53
2025-04-03 11:57:09 | 30.04 | 12.33 | 57.94 | 511.33 | 0.02 | 5.82
2025-04-03 11:57:29 | 20.51 | 4.00 | 57.22 | 535.93 | 0.04 | 4.46
2025-04-03 11:57:49 | 30.15 | 7.42 | 53.99 | 599.51 | 0.06 | 6.59
2025-04-03 11:58:09 | 27.14 | 11.48 | 50.44 | 621.60 | 0.04 | 6.04
2025-04-03 11:58:29 | 20.14 | 18.66 | 57.70 | 563.19 | 0.06 | 6.73
2025-04-03 11:58:49 | 28.46 | 6.02 | 55.47 | 505.92 | 0.05 | 5.07
2025-04-03 11:59:09 | 24.03 | 9.18 | 53.61 | 704.29 | 0.03 | 4.15
2025-04-03 12:00:13 | 19.93 | 19.46 | 51.32 | 577.77 | 0.09 | 5.12
2025-04-03 12:00:33 | 26.07 | 18.30 | 55.15 | 563.11 | 0.05 | 5.88
2025-04-03 12:00:53 | 20.56 | 10.69 | 50.45 | 523.63 | 0.07 | 5.79
2025-04-03 12:01:13 | 29.04 | 7.87 | 59.87 | 536.03 | 0.05 | 4.56
2025-04-03 12:04:12 | 20.50 | 12.83 | 57.66 | 587.46 | 0.08 | 5.22
2025-04-03 12:04:32 | 20.64 | 11.10 | 57.33 | 550.75 | 0.07 | 4.12
2025-04-03 12:04:52 | 24.35 | 13.88 | 59.47 | 509.89 | 0.07 | 6.80
2025-04-03 12:05:12 | 18.00 | 2.89 | 56.97 | 611.42 | 0.08 | 5.45
2025-04-03 12:05:32 | 28.16 | 10.44 | 53.42 | 541.58 | 0.06 | 4.53
2025-04-03 12:05:52 | 23.78 | 17.22 | 59.04 | 588.50 | 0.07 | 6.51
2025-04-03 12:06:12 | 25.54 | 20.65 | 53.32 | 592.37 | 0.05 | 6.72
2025-04-03 12:06:32 | 25.34 | 9.06 | 53.15 | 585.91 | 0.05 | 4.25
2025-04-03 12:06:52 | 30.22 | 18.53 | 58.99 | 628.87 | 0.10 | 5.67
2025-04-03 12:07:12 | 18.71 | 11.02 | 57.49 | 699.80 | 0.04 | 5.13
2025-04-03 12:10:14 | 20.33 | 17.53 | 53.57 | 532.73 | 0.09 | 4.27
2025-04-03 12:10:34 | 26.91 | 17.54 | 56.89 | 692.42 | 0.05 | 6.00
2025-04-03 12:10:54 | 18.06 | 12.45 | 59.87 | 519.16 | 0.03 | 6.80
2025-04-03 12:11:14 | 18.90 | 12.04 | 53.15 | 713.00 | 0.10 | 5.82
2025-04-03 12:11:34 | 28.65 | 13.02 | 51.68 | 626.40 | 0.06 | 5.85
2025-04-03 12:11:54 | 23.78 | 0.39 | 50.29 | 546.61 | 0.03 | 6.07
2025-04-03 12:12:14 | 28.58 | 2.58 | 52.77 | 595.37 | 0.03 | 5.66
2025-04-03 17:35:53 | 20.35 | 18.03 | 53.63 | 518.38 | 0.07 | 5.42
2025-04-03 17:36:13 | 24.42 | 11.02 | 59.48 | 596.66 | 0.04 | 6.82
2025-04-03 17:36:33 | 25.61 | 17.87 | 50.08 | 683.46 | 0.09 | 6.45
2025-04-03 17:36:53 | 27.77 | 14.78 | 52.54 | 548.96 | 0.03 | 6.24
2025-04-09 11:36:26 | 23.22 | 5.63 | 56.04 | 574.19 | 0.03 | 5.99
2025-04-09 11:39:09 | 24.77 | 20.86 | 56.70 | 553.37 | 0.03 | 5.91
2025-04-09 11:39:29 | 20.57 | 0.76 | 59.92 | 560.29 | 0.06 | 6.74
2025-04-09 11:44:51 | 26.52 | 7.41 | 52.25 | 631.63 | 0.04 | 4.67
2025-04-09 11:50:50 | 29.88 | 18.56 | 54.84 | 574.11 | 0.09 | 5.24
2025-04-09 11:57:01 | 29.18 | 17.88 | 57.45 | 708.21 | 0.08 | 4.10
2025-04-09 12:00:02 | 24.93 | 17.26 | 50.11 | 550.38 | 0.04 | 6.02
2025-04-09 12:01:11 | 22.13 | 0.52 | 54.39 | 516.07 | 0.07 | 4.31
2025-04-09 12:02:27 | 30.21 | 5.09 | 53.50 | 672.76 | 0.07 | 5.73
2025-04-09 12:05:12 | 19.01 | 13.36 | 50.59 | 551.89 | 0.09 | 5.59
2025-04-09 12:38:35 | 18.12 | 17.11 | 53.31 | 502.41 | 0.06 | 5.81
2025-04-09 13:23:36 | 25.88 | 15.98 | 54.90 | 516.00 | 0.03 | 6.43
2025-04-09 13:26:31 | 18.60 | 12.55 | 50.19 | 664.33 | 0.06 | 5.33
2025-04-09 13:27:42 | 25.87 | 9.86 | 53.22 | 680.70 | 0.08 | 6.16
2025-04-09 13:29:09 | 30.14 | 2.79 | 58.63 | 576.72 | 0.06 | 5.26
2025-04-09 13:29:29 | 25.73 | 16.55 | 58.81 | 616.76 | 0.08 | 5.58
2025-04-09 13:29:49 | 20.12 | 15.03 | 56.57 | 699.45 | 0.09 | 6.65
2025-04-09 13:30:09 | 21.78 | 13.74 | 59.42 | 705.61 | 0.03 | 6.45
2025-04-09 13:30:29 | 28.53 | 18.46 | 57.40 | 607.21 | 0.04 | 6.40
2025-04-09 13:30:50 | 29.68 | 16.60 | 50.15 | 605.77 | 0.05 | 6.63
2025-04-09 13:37:36 | 28.72 | 19.91 | 50.31 | 675.85 | 0.05 | 5.34
2025-04-09 13:38:11 | 27.18 | 4.14 | 50.94 | 619.39 | 0.06 | 4.26
2025-04-09 13:42:24 | 21.96 | 10.81 | 57.01 | 687.11 | 0.08 | 5.62
2025-04-09 13:42:44 | 20.84 | 1.04 | 50.42 | 682.03 | 0.05 | 4.42
2025-04-09 13:43:04 | 25.63 | 17.41 | 51.09 | 697.74 | 0.05 | 4.41
2025-04-09 13:43:24 | 28.20 | 19.19 | 57.01 | 697.21 | 0.06 | 5.64
2025-04-09 13:43:44 | 20.21 | 17.40 | 51.33 | 607.68 | 0.09 | 6.52
2025-04-09 13:44:04 | 20.84 | 11.91 | 56.94 | 505.10 | 0.04 | 6.35
2025-04-09 13:44:27 | 20.35 | 15.95 | 53.22 | 697.69 | 0.05 | 4.78
2025-04-09 13:44:47 | 22.66 | 10.08 | 51.55 | 577.88 | 0.08 | 5.01
2025-04-09 13:45:07 | 27.87 | 11.82 | 50.40 | 608.13 | 0.07 | 4.49
2025-04-09 13:45:31 | 25.88 | 4.11 | 56.48 | 614.54 | 0.08 | 6.82
2025-04-09 13:45:51 | 22.22 | 18.09 | 52.61 | 614.03 | 0.10 | 4.43
2025-04-09 13:46:12 | 22.82 | 1.75 | 59.20 | 676.62 | 0.04 | 5.58
2025-04-09 13:46:32 | 21.39 | 14.99 | 59.39 | 612.84 | 0.05 | 6.02
2025-04-09 13:48:07 | 23.43 | 14.25 | 55.83 | 677.53 | 0.05 | 5.54
2025-04-09 13:48:27 | 27.64 | 10.47 | 55.74 | 713.45 | 0.03 | 6.80
2025-04-09 13:49:02 | 19.88 | 9.11 | 52.90 | 518.63 | 0.03 | 4.93
2025-04-09 13:49:22 | 28.55 | 15.06 | 57.79 | 670.94 | 0.03 | 6.72
2025-04-09 13:49:52 | 19.80 | 16.27 | 55.46 | 616.87 | 0.03 | 4.32
2025-04-09 13:50:20 | 28.04 | 5.91 | 55.19 | 646.29 | 0.08 | 5.45
2025-04-09 13:50:40 | 25.49 | 6.17 | 58.76 | 710.00 | 0.06 | 4.68
2025-04-09 13:51:06 | 29.46 | 2.81 | 59.90 | 665.04 | 0.02 | 4.26
2025-04-09 13:52:05 | 23.77 | 5.12 | 54.04 | 512.33 | 0.07 | 5.17
2025-04-09 16:37:53 | 26.98 | 17.79 | 55.81 | 637.62 | 0.04 | 6.42
